Name,RA,Dec,Type,Subtype,Constellation,V Magnitude
NGC 1068 Cetus A,40.675,0.016666667,Galaxy,Spiral,Cetus,8.9
NGC 2068,86.675,0.05,Nebula,Diffuse,Orion,8.3
NGC 1904,81.125,-24.55,Cluster,Globular,Lepus,7.7
NGC 6093,244.25,-22.98333333,Cluster,Globular,Scorpius,7.3
NGC 3031 Bode¹s Galaxy,148.9,69.06666667,Galaxy,Spiral,Ursa Major,6.9
NGC 3034 Cigar Galaxy,148.95,69.68333333,Galaxy,Irregular,Ursa Major,8.4
NGC 5236 Southern Pinwheel Galaxy,204.25,-29.86666667,Galaxy,Spiral,Hydra,7.6
NGC 4374,186.275,12.88333333,Galaxy,Lenticular,Virgo,9.1
NGC 4382,186.35,18.18333333,Galaxy,Lenticular,Coma Berenices,9.1
NGC 4406,186.55,12.95,Galaxy,Lenticular,Virgo,8.9
NGC 4486 Virgo A,187.7,12.4,Galaxy,Elliptical,Virgo,8.6
NGC 4501,188,14.41666667,Galaxy,Spiral,Coma Berenices,9.6
NGC 4552,188.925,12.55,Galaxy,Elliptical,Virgo,9.8
NGC 4569,189.2,13.16666667,Galaxy,Spiral,Virgo,9.5
NGC 4548,188.85,14.5,Galaxy,Spiral,Coma Berenices,10.2
NGC 6341,259.275,43.13333333,Cluster,Globular,Hercules,6.4
NGC 2447,116.15,-23.86666667,Cluster,Open,Puppis,6
NGC 4736,192.725,41.11666667,Galaxy,Spiral,Canes Venatici,8.2
NGC 3351,161,11.7,Galaxy,Spiral,Leo,9.7
NGC 3368,161.7,11.81666667,Galaxy,Spiral,Leo,9.2
NGC 3587 Owl Nebula,168.7,55.01666667,Nebula,Planetary,Ursa Major,9.9
NGC 4192,183.45,14.9,Galaxy,Spiral,Coma Berenices,10.1
NGC 4254,184.7,14.41666667,Galaxy,Spiral,Coma Berenices,9.9
NGC 4321,185.725,15.81666667,Galaxy,Spiral,Coma Berenices,9.3
NGC 5457 Pinwheel Galaxy,210.8,54.35,Galaxy,Spiral,Ursa Major,7.9
NGC 5866 Spindle Galaxy,226.625,55.76666667,Galaxy,Lenticular,Draco,9.9
NGC 581,23.3,60.7,Cluster,Open,Cassiopeia,7.4
NGC 4594 Sombrero Galaxy,190,-11.61666667,Galaxy,Spiral,Virgo,8
NGC 3379,161.95,12.58333333,Galaxy,Elliptical,Leo,9.3
NGC 4258,184.75,47.3,Galaxy,Spiral,Canes Venatici,8.4
NGC 6171,248.125,-13.05,Cluster,Globular,Ophiucus,7.9
NGC 3556,167.875,55.66666667,Galaxy,Spiral,Ursa Major,10
NGC 3992,179.4,53.38333333,Galaxy,Spiral,Ursa Major,9.8
NGC 205 Satellite of M31,10.1,41.68333333,Galaxy,Elliptical,Andromeda,8.5
Adhara,104.5,-28.96666667,Star,Binary,Canis Major,1.5
Aldebaran,68.75,16.5,Star,RedGiant,Taurus,0.86
Altair,297.5,8.866666667,Star,MainSequence,Aquila,0.76
Antares,247.25,-26.41666667,Star,RedSupergiant,Scorpius,1.6
Arcturus,213.75,19.16666667,Star,RedGiant,Bootes,-0.05
Bellatrix,81.25,6.333333333,Star,BlueGiant,Orion,1.64
Betelguese,88.75,7.4,Star,RedSupergiant,Orion,0.5
Capella,79,45.98333333,Star,FourStars,Auriga,0.08
Castor,113.5,31.88333333,Star,SixStars,Gemini,1.93
Deneb,310.25,45.26666667,Star,BlueGiant,Cygnus,1.25
Elnath,81.5,28.6,Star,Binary,Taurus,1.65
Polaris,37.75,89.25,Star,Triple,Ursa Minor,1.9
Pollux,116.25,28.01666667,Star,OrangeGiant,Gemini,1.14
Procyon,114.75,5.216666667,Star,Binary,Canis Minor,0.34
Regulus,152,11.96666667,Star,Binary,Leo,1.4
Rigel,78.5,-8.2,Star,BlueSupergiant,Orion,0.13
Shaula,263.25,-37.1,Star,Triple,Scorpius,1.62
Sirius,101.25,-16.7,Star,Binary,Canis Major,-1.46
Spica,201.25,-11.15,Star,Binary,Virgo,0.97
Vega,279,38.78333333,Star,Variable,Lyra,0.026
